DATAFLOW,LAST UPDATE,freq,unit,tra_mode,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2008,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2009,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2010,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2011,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2012,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2013,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2014,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2015,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2016,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2017,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2018,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2019,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2020,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EE,2021,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2005,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2006,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2007,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2008,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2009,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2010,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2011,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2012,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2013,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2014,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2015,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2016,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2017,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2018,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2019,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2020,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,EL,2021,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2005,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2006,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2007,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2008,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2009,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2010,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2011,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2012,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2013,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2014,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2015,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2016,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2017,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2018,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2019,,z
ESTAT:SDG_09_60(1.0),15/03/23 11:00:00,A,PC,IWW,ES,2020,,z
